goodsid,name,title,cutprice,oldprice,imgurl1,imgurl2,imgurl3,sellqty,comment
1,泰国椰青整箱装 9个,椰汁清甜沁心 椰肉香软滑嫩,188,320,../images/1b1.jpg,../images/1b2.jpg,../images/1b3.jpg,2820,8460
2,蒙自石榴雀斑甜果礼盒装12粒装（2.4kg以上）,来自北回归线上的精品甜石榴,49,98,../images/2b1.jpg,../images/2b2.jpg,../images/2b3.jpg,1225,3430
3,金百瑞红莓（覆盆子）速冻果200g,原香 原味 冻浆果更营养。,18.8,26.8,../images/3b1.jpg,../images/3b2.jpg,../images/3b3.jpg,658,2632
4,易拉罐椰皇 1粒（单果360g以上）,轻轻一拉即可随时享受美味,23,38,../images/4b1.jpg,../images/4b2.jpg,../images/4b3.jpg,1035,4968
5,越南红心火龙果大果 2个共800g以上,红色诱惑 皮薄味甜,35.8,79,../images/5b1.jpg,../images/5b2.jpg,../images/5b3.jpg,1969,9845
6,泰国进口龙眼 2.5kg,晶莹而甜爽多汁,59,99,../images/6b1.jpg,../images/6b2.jpg,../images/6b3.jpg,3835,243
7,云南蒙自石榴8粒（单果200g以上）,皮薄透亮，籽实晶莹,39,69,../images/7b1.jpg,../images/7b2.jpg,../images/7b3.jpg,2925,2925
8,百香果 12粒装（600g以上）,风味浓郁，芳香怡人,19.8,39.8,../images/8b1.jpg,../images/8b2.jpg,../images/8b3.jpg,396,594
9,澳洲进口橙4个装（800g以上）,阳光外衣，甜蜜内心，鲜甜共享,22.8,58,../images/9b1.jpg,../images/9b2.jpg,../images/9b3.jpg,684,2052
10,南丰蜜桔 （约1kg）,皮薄核少、食不存渣、酸甜适中,15.8,29.8,../images/10b1.jpg,../images/10b2.jpg,../images/10b3.jpg,632,1580
11,广西金桔500g,甜脆爽口，营养满满,26.9,48,../images/11b1.jpg,../images/11b2.jpg,../images/11b3.jpg,807,3228
12,金百瑞黑莓速冻果200g,富含维生素 酸甜可口 香味浓郁,18.8,35,../images/12b1.jpg,../images/12b2.jpg,../images/12b3.jpg,1692,7614
13,越南白肉火龙果 2个装（大果·0.8-1kg）,热情火龙果 甜蜜好口味,18.9,39,../images/13b1.jpg,../images/13b2.jpg,../images/13b3.jpg,1890,2835
14,实建冰糖橙5kg（特级）,系出褚老的小清新，皮薄多汁,98,139,../images/14b1.jpg,../images/14b2.jpg,../images/14b3.jpg,10780,26950
15,台湾金钻凤梨 1粒（单果0.9kg以上）,香甜细腻,35.8,59,../images/15b1.jpg,../images/15b2.jpg,../images/15b3.jpg,4296,15036
16,象山红美人柑12个装（3kg以上）,海上仙子国，“美人”香袭远,198,239,../images/16b1.jpg,../images/16b2.jpg,../images/16b3.jpg,25740,1158
17,金百瑞蓝莓速冻果200g,原香 原味 冻浆果更营养。,19.9,59,../images/17b1.jpg,../images/17b2.jpg,../images/17b3.jpg,2786,15323
18,进口柠檬 6粒装（700g以上）,肉质细嫩，水分丰富,32.8,38,../images/18b1.jpg,../images/18b2.jpg,../images/18b3.jpg,4920,31980
19,福建琯溪三红蜜柚2粒（单果1kg以上）,三红柚，吃起来很享受,28.8,49,../images/19b1.jpg,../images/19b2.jpg,../images/19b3.jpg,4608,34560
20,旺顿牌热带冷冻椰子（含椰子果肉）1个,细腻多汁，清香怡人,32,38,../images/20b1.jpg,../images/20b2.jpg,../images/20b3.jpg,5440,10880
21,进口加力果6个（900g以上）,肉质紧密 清脆甜蜜,36.8,59,../images/21b1.jpg,../images/21b2.jpg,../images/21b3.jpg,736,2208
22,网纹瓜1个装（1-1.5kg）,赏心悦目的高颜值蜜瓜,39.8,68,../images/22b1.jpg,../images/22b2.jpg,../images/22b3.jpg,1194,4776
23,西州蜜瓜2粒装（约2kg）,阳光的馈赠，甜到心尖的美味,79.9,89.9,../images/23b1.jpg,../images/23b2.jpg,../images/23b3.jpg,3196,9588
24,山东精品烟台富士15个礼盒装/ 3.2kg以上,鲜脆多汁，酸酸甜甜,108,138,../images/24b1.jpg,../images/24b2.jpg,../images/24b3.jpg,5400,486
25,精选麒麟瓜 1个装 2-3kg,果皮薄，肉色鲜红绵密，甘甜爽口水分足，入口后的丝丝清甜。,29,69,../images/25b1.jpg,../images/25b2.jpg,../images/25b3.jpg,1740,5220
26,海南金煌芒1粒(500g以上),芒果中的大个子 纤维细 大口吃果肉 超爽,26.8,55,../images/26b1.jpg,../images/26b2.jpg,../images/26b3.jpg,1876,5252
27,云南青芒1.5kg,爽口清甜,28.8,59,../images/27b1.jpg,../images/27b2.jpg,../images/27b3.jpg,2304,9216
28,泰国金枕头冷冻榴莲果肉 300g*3,爽口嫩滑，嗅觉挑战，味蕾享受,109,168,../images/28b1.jpg,../images/28b2.jpg,../images/28b3.jpg,9810,470
29,比利时啤梨4个装（520g以上）,软妹子，请放软后食用,23.8,49,../images/29b1.jpg,../images/29b2.jpg,../images/29b3.jpg,2380,11900
30,新疆香妃雪梨4粒 1kg,汁多，肉脆，香气浓,29.9,69,../images/30b1.jpg,../images/30b2.jpg,../images/30b3.jpg,3289,1907
31,云南青芒3kg,爽口清甜,48.8,89,../images/27b2.jpg,../images/27b1.jpg,../images/27b3.jpg,5856,5856
32,云南蒙自石榴16粒（单果400g以上）,皮薄透亮，籽实晶莹,69,100,../images/7b2.jpg,../images/7b1.jpg,../images/7b3.jpg,8970,13455
33,越南红心火龙果大果 4个共1600g以上,红色诱惑 皮薄味甜,25.8,108,../images/5b2.jpg,../images/5b1.jpg,../images/5b3.jpg,1290,3870
34,越南白肉火龙果 4个装（大果·1.6-2kg）,热情火龙果 甜蜜好口味,28.9,64,../images/13b2.jpg,../images/13b1.jpg,../images/13b3.jpg,1734,4335
35,易拉罐椰皇 2粒（单果720g以上）,轻轻一拉即可随时享受美味,28,48,../images/4b2.jpg,../images/4b1.jpg,../images/4b3.jpg,1960,7840
36,新疆香妃雪梨8粒 2kg,汁多，肉脆，香气浓,49.9,72,../images/30b2.jpg,../images/30b1.jpg,../images/30b3.jpg,3992,17964
37,象山红美人柑24个装（6kg以上）,海上仙子国，“美人”香袭远,168,249,../images/16b2.jpg,../images/16b1.jpg,../images/16b3.jpg,15120,680
38,西州蜜瓜2粒装（约4kg）,阳光的馈赠，甜到心尖的美味,59.9,119.9,../images/23b2.jpg,../images/23b1.jpg,../images/23b3.jpg,5990,975
39,旺顿牌热带冷冻椰子（含椰子果肉）2个,细腻多汁，清香怡人,52,59,../images/20b2.jpg,../images/20b1.jpg,../images/20b3.jpg,5720,2002
40,网纹瓜2个装（2-3kg）,赏心悦目的高颜值蜜瓜,29.8,95,../images/22b2.jpg,../images/22b1.jpg,../images/22b3.jpg,3576,16092
41,泰国椰青整箱装 20个,椰汁清甜沁心 椰肉香软滑嫩,168,360,../images/1b2.jpg,../images/1b1.jpg,../images/1b3.jpg,21840,120
42,泰国进口龙眼 5kg,晶莹而甜爽多汁,79,129,../images/6b2.jpg,../images/6b1.jpg,../images/6b3.jpg,1580,10270
43,泰国金枕头冷冻榴莲果肉 300g*6,爽口嫩滑，嗅觉挑战，味蕾享受,139,189,../images/28b2.jpg,../images/28b1.jpg,../images/28b3.jpg,4170,31275
44,台湾金钻凤梨 2粒（单果0.9kg以上）,香甜细腻,45.8,79,../images/15b2.jpg,../images/15b1.jpg,../images/15b3.jpg,1832,3664
45,实建冰糖橙10kg（特级）,系出褚老的小清新，皮薄多汁,198,159,../images/14b2.jpg,../images/14b1.jpg,../images/14b3.jpg,2772,8316
46,山东精品烟台富士30个礼盒装/ 6.4kg以上,鲜脆多汁，酸酸甜甜,208,171,../images/24b2.jpg,../images/24b1.jpg,../images/24b3.jpg,3120,12480
47,南丰蜜桔 （约2kg）,皮薄核少、食不存渣、酸甜适中,55.8,63.8,../images/10b2.jpg,../images/10b1.jpg,../images/10b3.jpg,1395,4185
48,蒙自石榴雀斑甜果礼盒装24粒装（2.4kg以上）,来自北回归线上的精品甜石榴,39,128,../images/2b2.jpg,../images/2b1.jpg,../images/2b3.jpg,1365,12285
49,精选麒麟瓜 2个装 4-6kg,果皮薄，肉色鲜红绵密，甘甜爽口水分足，入口后的丝丝清甜。,129,105,../images/25b2.jpg,../images/25b1.jpg,../images/25b3.jpg,5805,17415
50,进口柠檬 12粒装（1400g以上）,肉质细嫩，水分丰富,22.8,53,../images/18b2.jpg,../images/18b1.jpg,../images/18b3.jpg,1254,3511
51,进口加力果12个（900g以上）,肉质紧密 清脆甜蜜,56.8,83,../images/21b2.jpg,../images/21b1.jpg,../images/21b3.jpg,3692,14768
52,金百瑞蓝莓速冻果400g,原香 原味 冻浆果更营养。,39.9,89,../images/17b2.jpg,../images/17b1.jpg,../images/17b3.jpg,2992,14364
53,金百瑞红莓（覆盆子）速冻果400g,原香 原味 冻浆果更营养。,28.8,46.8,../images/3b2.jpg,../images/3b1.jpg,../images/3b3.jpg,576,2880
54,金百瑞黑莓速冻果400g,富含维生素 酸甜可口 香味浓郁,38.8,65,../images/12b2.jpg,../images/12b1.jpg,../images/12b3.jpg,1164,1751
55,海南金煌芒2粒(1000g以上),芒果中的大个子 纤维细 大口吃果肉 超爽,56.8,94,../images/26b2.jpg,../images/26b1.jpg,../images/26b3.jpg,2272,2272
56,广西金桔1000g,甜脆爽口，营养满满,66.9,83,../images/11b2.jpg,../images/11b1.jpg,../images/11b3.jpg,2007,3010
57,福建琯溪三红蜜柚4粒（单果1kg以上）,三红柚，吃起来很享受,48.8,67,../images/19b2.jpg,../images/19b1.jpg,../images/19b3.jpg,4392,1316
58,比利时啤梨8个装（1020g以上）,软妹子，请放软后食用,23.8,61,../images/29b2.jpg,../images/29b1.jpg,../images/29b3.jpg,2380,5950
59,百香果 24粒装（1200g以上）,风味浓郁，芳香怡人,29.8,71.8,../images/8b2.jpg,../images/8b1.jpg,../images/8b3.jpg,3278,1112
60,澳洲进口橙8个装（1600g以上）,阳光外衣，甜蜜内心，鲜甜共享,32.8,91,../images/9b2.jpg,../images/9b1.jpg,../images/9b3.jpg,3936,7712
61,新疆香妃雪梨8粒 2kg,汁多，肉脆，香气浓,39.9,57.6,../images/30b3.jpg,../images/30b2.jpg,../images/30b1.jpg,5187,7780
62,金百瑞红莓（覆盆子）速冻果400g,原香 原味 冻浆果更营养。,23,42.1,../images/3b3.jpg,../images/3b2.jpg,../images/3b1.jpg,3220,8050
63,金百瑞蓝莓速冻果400g,原香 原味 冻浆果更营养。,31.9,75.6,../images/17b3.jpg,../images/17b2.jpg,../images/17b1.jpg,4785,747
64,泰国椰青整箱装 20个,椰汁清甜沁心 椰肉香软滑嫩,134.4,324,../images/1b3.jpg,../images/1b2.jpg,../images/1b1.jpg,21504,768
65,澳洲进口橙8个装（1600g以上）,阳光外衣，甜蜜内心，鲜甜共享,26.2,72.8,../images/9b3.jpg,../images/9b2.jpg,../images/9b1.jpg,4454,497
66,西州蜜瓜2粒装（约4kg）,阳光的馈赠，甜到心尖的美味,47.9,83.9,../images/23b3.jpg,../images/23b2.jpg,../images/23b1.jpg,958,227
67,台湾金钻凤梨 2粒（单果0.9kg以上）,香甜细腻,36.6,71.1,../images/15b3.jpg,../images/15b2.jpg,../images/15b1.jpg,1098,235
68,山东精品烟台富士30个礼盒装/ 6.4kg以上,鲜脆多汁，酸酸甜甜,166.4,205.2,../images/24b3.jpg,../images/24b2.jpg,../images/24b1.jpg,6656,312
69,旺顿牌热带冷冻椰子（含椰子果肉）2个,细腻多汁，清香怡人,41.6,70.8,../images/20b3.jpg,../images/20b2.jpg,../images/20b1.jpg,2080,240
70,实建冰糖橙10kg（特级）,系出褚老的小清新，皮薄多汁,158.4,111.3,../images/14b3.jpg,../images/14b2.jpg,../images/14b1.jpg,9504,1016
71,广西金桔1000g,甜脆爽口，营养满满,53.5,74.7,../images/11b3.jpg,../images/11b2.jpg,../images/11b1.jpg,3745,235
72,云南青芒3kg,爽口清甜,39,71.2,../images/27b3.jpg,../images/27b2.jpg,../images/27b1.jpg,3120,1080
73,泰国金枕头冷冻榴莲果肉 300g*6,爽口嫩滑，嗅觉挑战，味蕾享受,111.2,151.2,../images/28b3.jpg,../images/28b2.jpg,../images/28b1.jpg,10008,3002
74,网纹瓜2个装（2-3kg）,赏心悦目的高颜值蜜瓜,23.8,80.7,../images/22b3.jpg,../images/22b2.jpg,../images/22b1.jpg,2380,6664
75,福建琯溪三红蜜柚4粒（单果1kg以上）,三红柚，吃起来很享受,39,46.9,../images/19b3.jpg,../images/19b2.jpg,../images/19b1.jpg,4290,1716
76,比利时啤梨8个装（1020g以上）,软妹子，请放软后食用,19,73.2,../images/29b3.jpg,../images/29b2.jpg,../images/29b1.jpg,2280,1094
77,进口柠檬 12粒装（1400g以上）,肉质细嫩，水分丰富,18.2,37.1,../images/18b3.jpg,../images/18b2.jpg,../images/18b1.jpg,2366,118
78,进口加力果12个（900g以上）,肉质紧密 清脆甜蜜,45.4,99.6,../images/21b3.jpg,../images/21b2.jpg,../images/21b1.jpg,2270,131
79,越南白肉火龙果 4个装（大果·1.6-2kg）,热情火龙果 甜蜜好口味,23.1,76.8,../images/13b3.jpg,../images/13b2.jpg,../images/13b1.jpg,1386,1386
80,易拉罐椰皇 2粒（单果720g以上）,轻轻一拉即可随时享受美味,22.4,55.2,../images/4b3.jpg,../images/4b2.jpg,../images/4b1.jpg,1568,235
81,云南蒙自石榴16粒（单果400g以上）,皮薄透亮，籽实晶莹,55.2,90,../images/7b3.jpg,../images/7b2.jpg,../images/7b1.jpg,4416,1324
82,南丰蜜桔 （约2kg）,皮薄核少、食不存渣、酸甜适中,44.6,73.3,../images/10b3.jpg,../images/10b2.jpg,../images/10b1.jpg,4014,100
83,海南金煌芒2粒(1000g以上),芒果中的大个子 纤维细 大口吃果肉 超爽,45.4,75.2,../images/26b3.jpg,../images/26b2.jpg,../images/26b1.jpg,4540,181
84,蒙自石榴雀斑甜果礼盒装24粒装（2.4kg以上）,来自北回归线上的精品甜石榴,31.2,102.4,../images/2b3.jpg,../images/2b2.jpg,../images/2b1.jpg,3432,154
85,泰国进口龙眼 5kg,晶莹而甜爽多汁,63.2,122.5,../images/6b3.jpg,../images/6b2.jpg,../images/6b1.jpg,7584,1137
86,越南红心火龙果大果 4个共1600g以上,红色诱惑 皮薄味甜,20.6,75.6,../images/5b3.jpg,../images/5b2.jpg,../images/5b1.jpg,2678,6695
87,象山红美人柑24个装（6kg以上）,海上仙子国，“美人”香袭远,134.4,224.1,../images/16b3.jpg,../images/16b2.jpg,../images/16b1.jpg,2688,9408
88,精选麒麟瓜 2个装 4-6kg,果皮薄，肉色鲜红绵密，甘甜爽口水分足，入口后的丝丝清甜。,103.2,134.5,../images/25b3.jpg,../images/25b2.jpg,../images/25b1.jpg,3096,1393
89,金百瑞黑莓速冻果400g,富含维生素 酸甜可口 香味浓郁,31,61.7,../images/12b3.jpg,../images/12b2.jpg,../images/12b1.jpg,1240,6820
90,百香果 24粒装（1200g以上）,风味浓郁，芳香怡人,23.8,82.5,../images/8b3.jpg,../images/8b2.jpg,../images/8b1.jpg,333,2164
